postcode,sof,ldm,mca,authority_name
EC1A 1BB,116,,GLA,Greater London Authority
M1 1AE,110,,GMCA,Greater Manchester Combined Authority
L1 8JQ,111,,LCRCA,Liverpool City Region Combined Authority
B1 1HQ,112,,WMCA,West Midlands Combined Authority
TS1 2HJ,113,,TVCA,Tees Valley Combined Authority
S1 2HE,114,,SYMCA,South Yorkshire Mayoral Combined Authority
LS1 5DG,115,,WYCA,West Yorkshire Combined Authority
NG1 7DN,121,,EMCCA,East Midlands Combined County Authority
YO1 7HH,122,,YNYCA,York and North Yorkshire Combined Authority
TR1 2NA,123,,Cornwall,Cornwall Council
RG1 1AA,105,,DfE,ESFA / DfE Direct
